index,model_name,vocab_size,max_seq_length,to_lower,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
44,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.85443425,72.82947300000001,0.80157906,74.006957,0.8676354,72.094727,0.721922511034821,0.721922511034821,0.721922511034821,0.4486260160675731,0.34094016130189275,0.4486260160675731,0.7090172596615809,0.721922511034821,0.6909872689379968
45,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.85867125,72.76616,0.79848176,74.29378000000001,0.8761264999999999,71.728516,0.7182442373712604,0.7182442373712604,0.7182442373712604,0.4302383278094396,0.33097674700847096,0.4302383278094396,0.6888832615570313,0.7182442373712604,0.6878678821111048
46,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.8600131999999999,72.71491999999999,0.80485004,74.285614,0.85834247,71.94126999999999,0.7206964198136341,0.7206964198136341,0.7206964198136341,0.4222895720475003,0.3236632776972301,0.4222895720475003,0.6863336160530806,0.7206964198136341,0.6884032089430367
47,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.8605809000000001,72.74185399999999,0.80868536,73.92667,0.8660633,71.909875,0.7206964198136341,0.7206964198136341,0.7206964198136341,0.3951371412717712,0.3109188101730103,0.3951371412717712,0.6816898550508355,0.7206964198136341,0.6873989550291185
48,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.85432625,72.821563,0.80229115,74.396706,0.86200976,72.11914,0.7221677292790584,0.7221677292790584,0.7221677292790584,0.41662679024281984,0.3228901368603898,0.41662679024281984,0.6951559846877016,0.7221677292790584,0.6902739664504559
49,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.86010015,72.701627,0.8078266,73.87649400000001,0.87802726,71.21582,0.7130946542422756,0.7130946542422756,0.7130946542422756,0.3957859209403544,0.3393633699574554,0.3957859209403544,0.6795497122978473,0.7130946542422756,0.6816261316160173
50,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8421860999999999,73.19377700000001,0.7801739000000001,74.48049,0.8524639,72.72251999999999,0.72854340362923,0.72854340362923,0.72854340362923,0.4300179274715472,0.30746475343383617,0.4300179274715472,0.6897797292052003,0.72854340362923,0.6992838756752663
51,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8430911,73.28443,0.7772536999999999,74.71597,0.8579562,72.998047,0.7309955860716038,0.7309955860716038,0.7309955860716038,0.43790425778801617,0.33919686154624185,0.43790425778801617,0.7007370072899993,0.7309955860716038,0.7046727060711643
52,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8461593000000001,73.192483,0.7811826,74.63055,0.8852757,70.891464,0.7101520353114271,0.7101520353114271,0.7101520353114271,0.3642355718620347,0.3259071313652143,0.3642355718620347,0.6803951392248967,0.7101520353114271,0.6774670582284861
53,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.83944213,73.285955,0.7860226,74.04943,0.8774165,71.84361,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.3925899457949668,0.32397280481966145,0.3925899457949668,0.6857149011411018,0.7197155468366846,0.6852862242269391
54,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.84316117,73.269933,0.7805409000000001,74.67933000000001,0.8504787,72.813195,0.7297694948504169,0.7297694948504169,0.729769494850417,0.4803335410598602,0.3340161169418647,0.4803335410598602,0.7165478889130531,0.7297694948504169,0.703156880327087
