experiment_name,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
text_cnn_no_punct_4,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8225349,0.7394159,0.79567164,0.74516743,0.89496666,0.7198242,0.721990684,0.721990684,0.721990684,0.427513922,0.324141134,0.427513922,0.686458625,0.721990684,0.69358771
text_cnn_no_punct_5,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.81731284,0.74085325,0.79471123,0.74675596,0.9002336,0.71595055,0.717822996,0.717822996,0.717822996,0.38544827,0.317396052,0.38544827,0.686252751,0.717822996,0.687066344
text_cnn_no_punct_6,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.82245576,0.7394786,0.78959155,0.7437858,0.9075048,0.7121094,0.71341015,0.71341015,0.71341015,0.404524834,0.288263394,0.404524834,0.688115907,0.71341015,0.681902644
text_cnn_no_punct_7,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.816968,0.7407549,0.79913414,0.74447507,0.9104496,0.7196452,0.72125521,0.72125521,0.72125521,0.454386496,0.357428211,0.454386496,0.691124447,0.72125521,0.693426712
text_cnn_no_punct_8,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.81721383,0.7403283,0.79136175,0.74763817,0.9106544,0.716683,0.71855847,0.71855847,0.71855847,0.454057159,0.343809843,0.454057159,0.685733348,0.71855847,0.689741638
text_cnn_no_punct_9,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.81887907,0.7405714,0.78762025,0.7474375,0.91297114,0.71695966,0.71855847,0.71855847,0.71855847,0.393400704,0.32031775,0.393400704,0.688462794,0.71855847,0.690056733
text_cnn_no_punct_10,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8210623,0.73979616,0.7851651,0.749331,0.90098983,0.727181,0.72910027,0.72910027,0.72910027,0.458132545,0.374142434,0.458132545,0.693173644,0.72910027,0.700513467
dcnn_no_punct_1,dcnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8718362,0.7282325,0.8066299,0.741995,0.888862,0.72205406,0.723951949,0.723951949,0.723951949,0.42440873,0.314683354,0.42440873,0.687791408,0.723951949,0.694437952
dcnn_no_punct_2,dcnn,10000,128,FALSE,50,glove,glove.6B.50d,0.870945,0.7285083,0.80535513,0.73941064,0.90220046,0.71839195,0.720274577,0.720274577,0.720274577,0.419796615,0.310228887,0.419796615,0.688366622,0.720274577,0.687024067
dcnn_no_punct_3,dcnn,10000,128,FALSE,50,glove,glove.6B.50d,0.87215286,0.7279321,0.8170912,0.73719037,0.8975909,0.7205892,0.722481,0.722481,0.722481,0.49202406,0.347132731,0.49202406,0.705994357,0.722481,0.694066365
